,evaluation,date,label
315,生醫政策具體利多出爐！新藥-高階醫材受惠,2012-8-31,0
316,衛星廠上季EPS王 百一擠下啟碁；昇達按讚,2012-8-31,-1
317,IDC上修大陸今年智慧機出貨全球市佔，看好俄羅斯,2012-8-31,-1
318,《原料藥》上半年表現分歧，中化生拿下成長王,2012-8-31,-1
319,合則兩利？彭博社：華碩吃下宏碁後可當PC業霸主,2012-8-31,0
320,網通季報：中磊-璟德獲利亮眼、正文是黑馬,2012-8-31,0
321,研調：台廠觸控面板出貨滑落 Q4將下探1億片,2012-8-31,-1
322,梅柯爾扮白臉沒用？歐盟將調查，尚德創歷史新低,2012-8-31,0
323,《財報》CMOS廠豪威本季營收預估超優，盤後大漲8%,2012-8-31,1
324,蘋果、谷歌可能和解？傳庫克與佩吉電話商討侵權案,2012-8-31,-1
325,《歐股》陸股破底、原物料領跌，指數創8月初新低,2012-8-31,-1
326,《美債》通膨降、QE3機率增，10年債殖利率創3週新低,2012-8-31,-1
327,鴻海有意大幅擴增10代廠產能 投資額上看千億,2012-8-31,-1
328,《油價》颶風遠去 NYMEX原油跌近1%,2012-8-31,-1
329,費城FED總裁Plosser：更多QE將是弊多於利,2012-8-31,0
330,《美股》歐、日、韓經濟數據欠佳，道瓊創1個月新低,2012-8-31,-1
331,有影片有真相！協商結果何時公佈？郭董：31日,2012-8-31,0
332,《匯市》斯洛伐克稱歐元解體機率達50%，歐元貶,2012-8-31,-1
333,接單漸好轉，鈺齊Q3營收估持平，Q4增1-2成,2012-10-1,0
334,"歐元區失業人數逼近1,820萬，相當於荷蘭總人口",2012-10-1,0
335,ECB演很大！左嗆捍衛歐元，右斥西義別想不勞而獲,2012-10-1,-1
336,《日股》日經創1個月新低 日本觸媒跌幅居冠,2012-10-1,1
337,10-1集中市場三大法人合計賣超3.73億元,2012-10-1,1
338,《台股》收跌39點，量創2個月新低,2012-10-1,-1
339,蘋果視網膜螢幕遜掉了！夏普5吋FHD面板像素達443ppi,2012-10-1,-1
340,FED最重視預期指標暗示通縮威脅是現在進行式,2012-10-1,-1
341,印度需求火紅！蘋果傳考慮於當地成立自家專賣店,2012-10-1,-1
342,第一富國如何持續富強？星國：成為黃金交易中心,2012-10-1,0
343,《日股》製造業信心惡化 日經早盤下挫 日本觸媒狂瀉,2012-10-1,-1
344,西班牙減赤承諾紙糊的？赤字GDP佔比大幅上修！,2012-10-1,0
345,iPhone 5短缺有解？傳Sharp開始生產足量螢幕,2012-10-1,0
346,鴻夏戀最終只是一場夢？彭博社：入股Sharp案恐破局,2012-10-1,0
347,日本觸媒廠房爆炸釀禍，全球紙尿布供給恐將短缺,2012-10-1,-1
348,釣魚台逼資金撤出日本？統計：1-8月淨流出12億美元,2012-10-1,-1
